model_id,citation_key,mechanism,species,response,x_metric,x_min,x_max,form,b0,b1,b2,b3,b4,source_location,confidence,notes
DRM_BRM_inj_as_9628,Pflugrath2020c,barotrauma,American shad (Alosa sapidissima),injury,ln(RPC),0,3.0,logistic,-5.301,4.921,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_ab_7403,Pflugrath2020c,barotrauma,Australian bass (Percalates novemaculeata),injury,ln(RPC),0,3.0,logistic,-3.71,3.52,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_bs_9151,Pflugrath2020c,barotrauma,Bluegill sunfish (Lepomis macrochirus),injury,ln(RPC),0,3.0,logistic,-3.402,8.594,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_cg_6524,Pflugrath2020c,barotrauma,Carp gudgeon (Hypseleotris sp.),injury,ln(RPC),0,3.0,logistic,-3.94,3.22,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_cs_5539,Pflugrath2020c,barotrauma,Chinook salmon (Oncorhynchus tshawytscha),injury,ln(RPC),0,3.0,logistic,-4.735,3.485,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_k_5430,Pflugrath2020c,barotrauma,Kokanee (Oncorhynchus nerka),injury,ln(RPC),0,3.0,logistic,-6.18,4.885,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_lb_2550,Pflugrath2020c,barotrauma,Largemouth bass (Micropterus salmoides),injury,ln(RPC),0,3.0,logistic,-3.245,7.591,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_mp_8072,Pflugrath2020c,barotrauma,Macquarie perch (Macquaria australasica),injury,ln(RPC),0,3.0,logistic,-6.282,12.353,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_mc_9795,Pflugrath2020c,barotrauma,Murray cod (Maccullochella peelii),injury,ln(RPC),0,3.0,logistic,-4.25,3.23,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_rt_1075,Pflugrath2020c,barotrauma,Rainbow trout (Oncorhynchus mykiss),injury,ln(RPC),0,3.0,logistic,-4.956,3.276,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
DRM_BRM_inj_sp_8768,Pflugrath2020c,barotrauma,Silver perch (Bidyanus bidyanus),injury,ln(RPC),0,3.0,logistic,-3.7,4.11,,,,PNNL BRM Table 11,Mined,"PNNL Biological Response Models (Pflugrath 2020), Eqn 12; consolidated across studies"
